,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
0,RUPA,TEXTILES AND APPAREL,SmallCap,380.05,400.6,380.0,8.29,1.77,2.48,1.93,YES
1,THOMASCOOK,ENTERTAINMENT-HOTELS AND LEISURE,MidCap,214.65,217.45,212.6,-1.3,-0.37,-2.21,1.68,NO
2,ALBK,BANKS-PSU,MidCap,87.2,90.8,86.55,-12.28,-8.09,-9.67,-8.44,NO
3,TVSELECT,INFRA-MACHINERY EQUIPMENT,MiniCap,192.7,196.0,192.5,2.57,0.69,0.44,-1.07,NO
4,WIPRO,IT,LargeCap,499.65,504.3,500.4,36.12,9.09,9.09,8.33,YES
5,SUNPHARMA,PHARMA,LargeCap,642.8,647.2,640.15,19.6,6.4,7.1,8.4,YES
6,JSL,METALS AND MINING,SmallCap,74.25,79.8,74.65,-34.52,-8.27,-9.18,-2.8,NO
7,SUNDRMFAST,AUTO-AUTO ANCL AND COMPONENTS,MidCap,399.75,403.1,395.05,5.85,1.99,3.59,3.6,YES
8,CARBORUNIV,AUTO-AUTOMOBILES AND AUTO PARTS,MidCap,296.0,300.05,292.15,7.57,1.63,2.11,2.12,YES
9,ABB,INFRA-MACHINERY EQUIPMENT,LargeCap,1601.95,1602.0,1526.0,0,6.11,3.35,3.65,NO
10,LOVABLE,TEXTILES AND APPAREL,MiniCap,252.1,256.0,250.4,13.79,2.02,1.89,7.23,YES
12,CEATLTD,AUTO-TYRES AND TUBES,MidCap,1647.55,1668.8,1631.0,110.38,28.03,25.88,25.54,YES
13,TCS,IT,LargeCap,2332.45,2347.9,2322.75,123.18,31.01,32.18,32.06,YES
14,SRSLTD,TEXTILES AND APPAREL,MiniCap,3.4,3.5,3.35,1.43,0.18,-0.62,-0.29,NO
15,MOTILALOFS,FINANCIAL SERVICES,MidCap,1020.0,1100.0,1010.0,11.74,3.45,3.29,5.48,YES
16,SIMPLEXINF,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,SmallCap,409.7,414.45,407.3,13.83,3.85,3.19,3.48,YES
17,JUBLFOOD,FMCG-FOOD,MidCap,974.6,1002.0,975.0,15.88,4.45,4.22,2.88,NO
18,JSWSTEEL,METALS AND MINING,LargeCap,197.5,200.0,194.3,-16.39,-2.96,9.91,45.88,YES
19,BLISSGVS,PHARMA,SmallCap,168.1,169.4,165.65,8,0,0.78,2,YES
20,SANGHIIND,CEMENTS,SmallCap,79.75,85.75,79.8,0.07,1.22,-1.25,1.08,NO
21,DHANBANK,BANKS-PRIVATE,MiniCap,40.1,40.4,39.0,-11.8,-3.13,-7.42,0.32,NO
22,PVR,MEDIA-ENTERTAINMENT,MidCap,1542.45,1562.65,1538.5,26.34,6.4,-2.2,9.13,NO
23,IL&FSENGG,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,54.45,56.0,54.45,-28.35,-6.63,2.58,-5.7,NO
24,NATIONALUM,METALS AND MINING,MidCap,67.7,68.2,67.25,2.84,0.57,0.81,0.52,YES
25,SUBROS,AUTO-AUTO ANCL AND COMPONENTS,SmallCap,257.45,265.05,250.8,3.99,1,1.31,-0.13,NO
26,AMBUJACEM,CEMENTS,LargeCap,259.7,264.2,257.3,0,0.72,0,2.63,YES
27,KIRLOSIND,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,SmallCap,1372.55,1391.0,1350.0,74.45,6.77,20.8,6.12,YES
28,GSPL,ENERGY-OIL & GAS,MidCap,178.35,181.85,178.0,8.25,2.2,1.77,2.15,YES
30,FORTIS,PHARMA,MidCap,209.7,210.75,204.0,-0.97,-1.28,-2.06,0.18,NO
31,RAMCOCEM,CEMENTS,LargeCap,716.55,725.0,714.0,23,5,9,7,YES
32,GEOJITFSL,FINANCIAL SERVICES,SmallCap,70.0,73.2,70.0,0,0,0,0,YES
33,NCC,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MidCap,95.4,97.7,95.5,1.99,1.02,1.26,0.94,YES
34,ENGINERSIN,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MidCap,168.15,169.6,165.0,7.76,1,2.08,2.38,YES
35,NTPC,INFRA-POWER,LargeCap,162.2,162.45,160.45,12.35,3.23,3.29,2.87,YES
36,MADHUCON,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,59.2,60.4,57.55,8.67,0.49,1.19,0.87,YES
37,KOKUYOCMLN,CHEMICALS,SmallCap,100.0,101.05,98.55,0.52,-0.16,0.24,0.44,NO
38,VIKASECO,CHEMICALS,MiniCap,24.85,25.4,24.5,1,0.44,0.4,0.36,YES
39,AIFL,TEXTILES AND APPAREL,MiniCap,405.9,409.15,402.85,6.59,1.19,1.72,1.59,NO
40,SAKHTISUG,FMCG-SUGAR,MiniCap,33.5,33.75,33.0,-4.94,-2.08,1.28,8.2,NO
41,HCLTECH,IT,LargeCap,843.6,858.8,835.6,39.7,13.63,13.72,14.55,YES
42,JAYAGROGN,CHEMICALS,SmallCap,972.05,981.8,960.05,16.19,4.8,5.33,7.63,YES
43,MANPASAND,FMCG-BEVERAGES,SmallCap,707.55,723.7,698.3,10.78,0.98,5.14,5.71,NO
44,JYOTHYLAB,FMCG,MidCap,378.15,381.8,375.05,8.6,2.12,1.94,2.5,NO
46,RPGLIFE,PHARMA,MiniCap,384.7,412.95,384.0,7.03,2.82,1.36,5.97,YES
47,PANAMAPET,CHEMICALS,MiniCap,150.2,154.0,149.15,6.24,1.57,1.2,2.31,YES
48,IMFA,METALS AND MINING,SmallCap,554.05,567.95,545.0,-20.89,0.43,-19.23,-11.68,NO
49,PRESSMN,MEDIA-ENTERTAINMENT,MiniCap,71.1,72.45,70.65,1.73,0.34,0.16,0.7,YES
50,BAJAJHIND,FMCG-SUGAR,SmallCap,16.55,17.1,16.3,-2.24,-0.77,1.36,-0.7,NO
51,GSKCONS,FMCG,LargeCap,5346.9,5398.0,5257.1,163.34,35.35,42.96,38.19,YES
52,ZEEMEDIA,MEDIA,SmallCap,38.4,39.7,38.0,-0.15,-0.02,0.39,0,NO
53,MEP,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,SmallCap,70.5,73.6,70.7,1.66,0.32,0.63,2.2,YES
54,HATHWAY,MEDIA-ENTERTAINMENT,SmallCap,40.75,41.4,39.95,-1.96,-0.39,-0.55,-0.64,NO
55,OFSS,IT,LargeCap,3754.45,3784.0,3754.45,123.12,30.98,26.32,40.68,YES
56,PSB,BANKS-PSU,SmallCap,66.75,67.3,66.15,8.39,1.76,2.45,1.33,YES
57,COLPAL,FMCG,LargeCap,1019.45,1026.0,1011.0,21.2,6.07,5.36,4.62,YES
58,ISFT,IT,MiniCap,380.1,384.8,377.1,28.18,3.51,22.7,1.8,YES
59,NITCO,REALTY-HOUSEHOLD,MiniCap,69.85,72.2,68.1,-11,-2.48,-2.79,-1.07,NO
60,JETAIRWAYS,AIRLINES,MidCap,540.45,546.55,525.85,106.66,41.12,34.96,9.08,YES
61,MCLEODRUSS,FMCG-BEVERAGES,SmallCap,185.0,187.5,183.5,3.41,3.12,-21.53,-1.58,NO
62,SHANTIGEAR,AUTO-AUTO ANCL AND COMPONENTS,SmallCap,130.7,131.5,129.65,2.23,0.63,0.65,0.6,YES
63,HBLPOWER,INFRA-MACHINERY EQUIPMENT,SmallCap,46.45,47.5,45.15,1.03,0.19,0.09,0.18,YES
64,KPRMILL,TEXTILES AND APPAREL,MidCap,756.4,775.0,748.1,55.57,14.06,14.26,16.68,YES
65,KIRLOSBROS,INFRA-MACHINERY EQUIPMENT,SmallCap,277.0,278.65,267.15,0,0,0,0,NO
66,ATFL,FMCG-FOOD,SmallCap,508.55,514.75,501.2,9.52,2.63,2.96,2.52,YES
67,NDL,TEXTILES AND APPAREL,MiniCap,120.1,131.7,118.85,13.57,3.4,3.55,3.41,YES
68,IBULHSGFIN,FINANCIAL SERVICES-NBFC,LargeCap,1082.9,1091.25,1057.75,58.75,14.13,15.85,14.77,YES
69,GSFC,FERTILISERS,MidCap,145.35,146.25,140.0,9.72,2.59,0.82,1.16,YES
70,SRF,DIVERSIFIED,MidCap,1779.7,1817.95,1767.05,73.66,17.53,18.95,25.11,YES
71,RAYMOND,TEXTILES AND APPAREL,SmallCap,769.25,775.0,763.5,15,6.12,5.88,-1.84,NO
72,HMVL,MEDIA-ENTERTAINMENT,SmallCap,283.15,284.9,280.1,24.6,6.45,0,0,YES
73,ASIANPAINT,REALTY-HOUSEHOLD,LargeCap,1158.3,1178.9,1152.3,18.18,4.89,4.35,5.58,NO
74,IPCALAB,PHARMA,MidCap,549.6,560.5,550.35,7.39,2.09,2.99,3.77,YES
75,LTTS,IT,MidCap,754.65,759.95,750.0,0,10.61,0,9.51,YES
76,HERCULES,INFRA-MACHINERY EQUIPMENT,MiniCap,163.05,165.0,162.5,4.15,0.78,-0.23,0.81,NO
