,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
0,COSMOFILMS,FMCG-PACKAGING,MiniCap,446.95,457.75,447.0,49.5,16.94,12.4,9.73,YES
1,KEI,INFRA-MACHINERY EQUIPMENT,SmallCap,235.1,238.0,222.05,7.98,1.87,2.55,2.13,YES
2,MANINFRA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,SmallCap,57.7,59.95,57.1,0.54,0.33,0.04,0.5,YES
3,SUVEN,PHARMA,SmallCap,187.65,198.8,187.55,5.24,1.39,2.54,2.56,YES
4,PIIND,CHEMICALS,MidCap,844.05,872.0,845.0,22.86,5.26,6.91,9.2,YES
5,MOTHERSUMI,AUTO-AUTOMOBILES AND AUTO PARTS,LargeCap,409.2,410.6,401.6,9.63,2.35,3.13,2.29,YES
6,TPLPLASTEH,FMCG-PACKAGING,MiniCap,526.15,540.0,524.05,11.03,2.62,2.35,3.51,YES
7,JETAIRWAYS,AIRLINES,MidCap,540.45,546.55,525.85,106.66,41.12,34.96,9.08,YES
8,BLISSGVS,PHARMA,SmallCap,168.1,169.4,165.65,8,0,0.78,2,YES
9,HCL-INSYS,IT,SmallCap,55.7,56.25,55.1,-11.4,-2.9,-6.3,-1.6,NO
10,NEULANDLAB,PHARMA,SmallCap,1357.2,1370.0,1320.0,30.75,7.07,7.46,10.93,YES
11,HONDAPOWER,INFRA-MACHINERY EQUIPMENT,SmallCap,1442.95,1452.45,1424.45,48.14,13.79,15.14,14.37,YES
12,CESC,INFRA-POWER,MidCap,987.65,991.0,978.05,27.64,10.91,18.72,13.11,YES
13,PUNJLLOYD,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,24.75,25.35,24.4,-67.61,-9.05,-14.09,-6.27,NO
14,GPPL,TRANSPORTATION LOGISTICS,MidCap,159.9,167.0,160.05,5.55,1.1,1.03,1.24,YES
15,RICOAUTO,AUTO-AUTOMOBILES AND AUTO PARTS,MiniCap,59.5,60.85,59.05,2.18,0.65,0.53,1.15,YES
16,ADANIENT,INFRA-POWER,MidCap,122.8,126.8,117.4,9.47,1.91,1.52,3.31,YES
17,KIRIINDUS,CHEMICALS,MiniCap,281.0,283.85,280.4,6.63,1.22,3.3,9.7,YES
18,EXIDEIND,AUTO-AUTO ANCL AND COMPONENTS,LargeCap,247.0,248.4,245.0,8.4,1.63,2.09,2.31,YES
19,ATUL,CHEMICALS,MidCap,2517.5,2544.65,2510.0,90.8,20.54,21.11,27.15,YES
20,DRREDDY,PHARMA,LargeCap,2602.85,2619.85,2575.0,124.54,34.25,7.17,9.03,YES
21,ICICIBANK,BANKS-PRIVATE,LargeCap,298.65,302.5,299.55,17.41,5.34,0.69,0,YES
22,LOVABLE,TEXTILES AND APPAREL,MiniCap,252.1,256.0,250.4,13.79,2.02,1.89,7.23,YES
23,JPASSOCIAT,CEMENTS,SmallCap,13.05,13.2,12.9,12.55,-3.23,-5.48,-2.35,NO
24,BERGEPAINT,REALTY-HOUSEHOLD,LargeCap,260.15,264.8,257.7,3.83,1.15,0.96,1.24,NO
25,KSCL,FMCG-FOOD,SmallCap,556.6,561.1,550.0,25.01,1.8,-1.41,22.35,YES
26,TREEHOUSE,IT,MiniCap,17.45,17.9,17.45,1.55,1.44,-8.18,-6.44,NO
27,ASTRAL,REALTY-HOUSEHOLD,MidCap,590.25,605.0,585.0,8.46,1.5,3.56,2.19,NO
28,HGS,IT,SmallCap,548.4,552.0,544.9,48.66,8.25,19.68,24.93,YES
29,KALPATPOWR,INFRA-POWER,MidCap,358.75,359.95,355.35,7.64,2.48,4.69,4.21,YES
30,BALLARPUR,PAPER,SmallCap,20.6,22.4,20.9,-2.44,-0.91,-1.21,-1.89,NO
31,ARVIND,TEXTILES AND APPAREL,MidCap,420.9,426.85,411.9,14.04,3.5,4.27,2.84,YES
32,MTNL,INFRA-TELECOM,SmallCap,25.1,25.4,24.55,-31.94,-11.19,2.77,-11.4,NO
33,BLS,IT,SmallCap,182.6,191.7,185.25,30.17,12.48,2.86,7.07,YES
34,RML,AUTO-AUTOMOBILES AND AUTO PARTS,MiniCap,474.7,498.0,467.5,11.42,2.88,3.72,2.53,YES
35,TCI,TRANSPORTATION LOGISTICS,SmallCap,250.85,253.8,247.2,10.72,2.48,3.18,1.97,YES
36,IOC,ENERGY-OIL & GAS,LargeCap,441.45,444.5,432.3,46.21,6.53,7.11,34.9,YES
37,SAKHTISUG,FMCG-SUGAR,MiniCap,33.5,33.75,33.0,-4.94,-2.08,1.28,8.2,NO
38,AKZOINDIA,REALTY-HOUSEHOLD,MidCap,1952.5,1977.05,1921.5,43.3,13.55,11.3,13.77,YES
39,CEATLTD,AUTO-TYRES AND TUBES,MidCap,1647.55,1668.8,1631.0,110.38,28.03,25.88,25.54,YES
40,NATCOPHARM,PHARMA,LargeCap,897.8,921.0,907.95,9.08,2.13,3.45,2.73,YES
41,IPAPPM,PAPER,SmallCap,348.1,354.15,345.0,9.28,3.75,5.13,3.87,YES
42,ASTRAZEN,PHARMA,SmallCap,979.5,983.05,971.25,2.1,3.47,0.22,4.23,NO
43,RCF,FERTILISERS,MidCap,96.8,97.8,94.1,3.36,0.98,0.66,0.36,YES
44,L&TFH,FINANCIAL SERVICES-NBFC,LargeCap,134.6,135.35,133.05,3.79,0.92,1.08,1,YES
45,TRIVENI,FMCG-SUGAR,SmallCap,89.8,91.8,89.6,-0.38,0.55,1.71,1.88,YES
46,GOCLCORP,CHEMICALS,SmallCap,438.8,445.95,431.0,5.43,0,0.98,1.39,YES
47,TFCILTD,FINANCIAL SERVICES-NBFC,MiniCap,99.05,101.8,98.9,6.64,1.93,0.4,2.5,YES
48,VRLLOG,TRANSPORTATION LOGISTICS,SmallCap,327.3,330.0,325.0,11.26,2.71,1.45,2.9,YES
49,ECLERX,IT,MidCap,1347.25,1360.0,1324.0,87.35,21.38,26.07,23.23,YES
50,HINDOILEXP,ENERGY-OIL & GAS,SmallCap,78.9,80.55,78.8,0.61,0.33,0.11,0.71,YES
51,ACC,CEMENTS,LargeCap,1690.35,1722.95,1690.1,0,5.44,12.31,12.7,NO
52,SHANTIGEAR,AUTO-AUTO ANCL AND COMPONENTS,SmallCap,130.7,131.5,129.65,2.23,0.63,0.65,0.6,YES
53,ARCOTECH,METALS AND MINING,MiniCap,402.05,418.0,401.0,17.37,4.51,4.7,4.64,YES
54,HITECHPLAS,FMCG-PACKAGING,MiniCap,215.95,219.0,213.5,8.6,2.76,0.22,1.77,YES
55,SYNGENE,PHARMA,MidCap,462.75,469.3,443.25,11.06,2.94,3.32,3.03,YES
56,CARERATING,FINANCIAL SERVICES,SmallCap,1565.05,1598.8,1565.05,40.88,9.17,12.1,8.39,YES
57,IBREALEST,REALTY,MidCap,167.2,170.25,163.6,6.76,1.61,1.23,2.5,YES
58,JYOTHYLAB,FMCG,MidCap,378.15,381.8,375.05,8.6,2.12,1.94,2.5,NO
59,AUTOAXLES,AUTO-AUTO ANCL AND COMPONENTS,SmallCap,709.2,719.9,705.4,23.01,5.46,7.19,7.32,YES
60,THERMAX,INFRA-MACHINERY EQUIPMENT,MidCap,1045.2,1070.0,1027.3,24.9,4.82,0,4.35,YES
